cell,signal,design,n,trial,target_left,target_right,hct_left,hct_right,hct_width,hct_empty,hct_covers_target,hct_nontrivial,joint_contrast_coverage,unexplained_empty,positive_contrast_count,negative_contrast_count,hct_runtime_seconds,sshaped_status,sshaped_inflection,sshaped_root_error,sshaped_runtime_seconds,shapechange_status,shapechange_inflection,shapechange_left,shapechange_right,shapechange_width,shapechange_covers_target,shapechange_root_error,shapechange_runtime_seconds,hct_projected_sshaped,hct_projected_root_error,projection_error_change,covered_projection_increase
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,0,0.3,0.3,0.281437125748503,0.33532934131736525,0.053892215568862256,False,True,True,True,False,20,29,0.0012747999862767756,ok,0.301397205588822,0.0013972055888220036,0.14,ok,0.312392180853628,0.30862637056857,0.315827858607314,0.007201488038743986,False,0.012392180853628032,2.22,0.301397205588822,0.0013972055888220036,0.0,False
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,1,0.3,0.3,0.22554890219560877,0.4151696606786427,0.18962075848303392,False,True,True,False,False,18,23,0.0007062000222504139,ok,0.301397205588822,0.0013972055888220036,0.16,ok,0.312745278058029,0.308632864197744,0.315779701798799,0.0071468376010550005,False,0.012745278058028997,2.25,0.301397205588822,0.0013972055888220036,0.0,False
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,2,0.3,0.3,0.22554890219560877,0.4151696606786427,0.18962075848303392,False,True,True,True,False,17,25,0.0006904999609105289,ok,0.29940119760479,0.0005988023952099852,0.15,ok,0.311996678376848,0.308261744338636,0.315196092306589,0.006934347967953003,False,0.011996678376848036,2.18,0.29940119760479,0.0005988023952099852,0.0,False
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,3,0.3,0.3,0.20958083832335328,0.3992015968063872,0.18962075848303395,False,True,True,True,False,17,25,0.0005746000097133219,ok,0.29940119760479,0.0005988023952099852,0.12,ok,0.313367248805665,0.30937214356545,0.316176191496792,0.006804047931341983,False,0.013367248805665033,2.24,0.29940119760479,0.0005988023952099852,0.0,False
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,4,0.3,0.3,0.25748502994011974,0.3992015968063872,0.1417165668662675,False,True,True,True,False,19,27,0.0006099999882280827,ok,0.29940119760479,0.0005988023952099852,0.22,ok,0.309491223570059,0.306225524148438,0.312883717005327,0.006658192856889011,False,0.009491223570058993,2.61,0.29940119760479,0.0005988023952099852,0.0,False
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,5,0.3,0.3,0.20958083832335328,0.38323353293413176,0.17365269461077848,False,True,True,True,False,16,27,0.0005248000379651785,ok,0.301397205588822,0.0013972055888220036,0.22,ok,0.311173743871128,0.307446052161361,0.314897687056117,0.007451634894755976,False,0.011173743871128017,2.64,0.301397205588822,0.0013972055888220036,0.0,False
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,6,0.3,0.3,0.24151696606786427,0.3992015968063872,0.15768463073852296,False,True,True,True,False,16,23,0.0005319999763742089,ok,0.301397205588822,0.0013972055888220036,0.21,ok,0.309935494865105,0.306933013246458,0.313674737659105,0.006741724412646977,False,0.009935494865105032,2.63,0.301397205588822,0.0013972055888220036,0.0,False
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,7,0.3,0.3,0.24151696606786427,0.4151696606786427,0.17365269461077842,False,True,True,True,False,16,23,0.000568999967072159,ok,0.285429141716567,0.014570858283432964,0.22,ok,0.311848111942506,0.308137601613005,0.315098920555101,0.0069613189420960064,False,0.011848111942506012,2.64,0.285429141716567,0.014570858283432964,0.0,False
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,8,0.3,0.3,0.20958083832335328,0.4151696606786427,0.2055888223552894,False,True,True,True,False,16,24,0.0005762000218965113,ok,0.301397205588822,0.0013972055888220036,0.17,ok,0.312119703601869,0.308462301058151,0.31569707980703,0.007234778748879012,False,0.012119703601869036,2.53,0.301397205588822,0.0013972055888220036,0.0,False
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,9,0.3,0.3,0.24151696606786427,0.35129740518962077,0.1097804391217565,False,True,True,True,False,19,27,0.0006059000152163208,ok,0.29940119760479,0.0005988023952099852,0.16,ok,0.314025249792847,0.310152919006944,0.317827778575979,0.00767485956903502,False,0.014025249792847028,2.59,0.29940119760479,0.0005988023952099852,0.0,False
